Name,Stock Level,Min Level,Unit,Unit Price,Currency,SKU,Supplier,Category,Last Ordered,Notes,Capacity,EAN / UPC,Retail Price,Wholesale Price,Link
"SoapyFluffs Artisan Bath Bombs – Fun, Fizz & Fragrance | SoapyFluffs - Apple Cider",7,,pieces,1.6425458088447513,USD,61673115511925,,,1970-01-01,,52.919053,,6,,https://app.inventora.com/products/vKEfbSebJzpTPg4TfkQZur/details
A Christmas Memory,0,,pieces,,USD,61673115286325,,,1970-01-01,,0,,6,,https://app.inventora.com/products/sTs6bzn2FSriBvufhr3vis/details
A Christmas Memory - Soy Wax Melt,3,,pieces,,USD,61673114896021,,,1970-01-01,,0,,5,,https://app.inventora.com/products/iYVc5xkCgb6pPK36nGHe7U/details
Amazonite Stone Set by Tiny Rituals,0,,pieces,,USD,carro-66857648,,,1970-01-01,,0,,22,,https://app.inventora.com/products/v4QGzynkjTZxXFfGPTSLfV/details
Amethyst Worry Stone by Tiny Rituals,0,,pieces,,USD,carro-66857659,,,1970-01-01,,0,,38,,https://app.inventora.com/products/2dLcbnstqouz4mg9mqcfPb/details
Apple Scented Soy Candle – Fresh Apple Blend by Soapyfluffs,0,,pieces,2.3619293125046252,USD,61673116294229,,,1970-01-01,,37.333371,,8,4,https://app.inventora.com/products/8AGd87vngKvKq8J93YZ8P7/details
Autumn Apple Soy Candle,6,,pieces,,USD,61673116294229,,,1970-01-01,,0,,8,,https://app.inventora.com/products/f3ubCRiQzXYVEWytMr1nSN/details
Baby Powder Soap – Handmade with Aloe Vera & Natural Oils,18,,pieces,,USD,61673116706069,,,1970-01-01,,0,,6,,https://app.inventora.com/products/hhM58UmsHY29XmYj52bdoX/details
BARE Turmeric Orange Clove Artisan Soap – Natural & Unscented | SoapyFluffs,0,,pieces,,USD,61673112473301,,,1970-01-01,,0,,6,,https://app.inventora.com/products/cT8Ar4U3Dz2GdWwiW2pxur/details
Black Raspberry Vanilla,31,10,pieces,0.924633971923125,USD,61673116949429,,SOAP,1970-01-01,,516.922282,,6,3,https://app.inventora.com/products/c9wRdeuZTajpsfuc6BphYM/details
BARE Bar,0,,pieces,,USD,61673110180341,,,1970-01-01,,0,,6,,https://app.inventora.com/products/meG7rxpZYNcguyzYhpHSw6/details
BARE Bar set,0,,pieces,,USD,61673118727573,,,1970-01-01,,0,,6,,https://app.inventora.com/products/mA6Uoj64fbDTG6PJd7S95Z/details
BARE Chai Spice Artisan Soap – Warm & Inviting | Soapy Fluffs,0,,pieces,,USD,61673113799221,,,1970-01-01,,0,,6,,https://app.inventora.com/products/fSygNVoFmx2ghRbAA5UZNv/details
BARE Energize,33,,pieces,,USD,61673118855125,,,1970-01-01,,0,,6,,https://app.inventora.com/products/8394PecafA1341sH4SqNkJ/details
BARE Repair,26,,pieces,,USD,61673118906677,,,1970-01-01,,0,,6,,https://app.inventora.com/products/6JEXf9Lzf7H6eqEKXWNLwE/details
BARE Sea Salt Citrus Artisan Soap – Natural & Refreshing | SoapyFluffs,-6,,pieces,,USD,61673112563189,,,1970-01-01,,0,,6,,https://app.inventora.com/products/x2d2bHNjeJsMuuWssMpk5m/details
Chocolate Love - Body Butter,0,,pieces,,USD,61673118680309,,,1970-01-01,,0,,8,,https://app.inventora.com/products/3AKyoqj824mtFfU5nTJqnP/details
Black Raspberry Vanilla - Whipped Sugar Scrub – Fruity & Refreshing | Soapy Fluffs,17,,pieces,,USD,61673114388245,,,1970-01-01,,0,,6,,https://app.inventora.com/products/tQEzhkvRwWNLbhvBzoT9pv/details
Blanket Snuggles,7,,pieces,,USD,61673110446837,,,1970-01-01,,0,,6,,https://app.inventora.com/products/i9CmWsGE9anWd2j5AgbEMQ/details
Chakra Sphere with Tripod by Tiny Rituals,0,,pieces,,USD,carro-66857646,,,1970-01-01,,0,,68,,https://app.inventora.com/products/vjttgeSgLwNRQkH6tBSD11/details
Chakra Tower by Tiny Rituals,0,,pieces,,USD,carro-66857647,,,1970-01-01,,0,,68,,https://app.inventora.com/products/erXawuSyhyGxrUMSHZTgAy/details
Chakra Worry Stone by Tiny Rituals - Regular / Single,0,,pieces,,USD,carro-66857634,,,1970-01-01,,0,,36,,https://app.inventora.com/products/izmhihNFZb4Bdei52qi7of/details
Chakra Worry Stone by Tiny Rituals - Mini / Single,0,,pieces,,USD,carro-66857635,,,1970-01-01,,0,,19.95,,https://app.inventora.com/products/3dvZvDyykQ1TSjj7mLvQQq/details
Chocolate Love Soy Candle - A Timeless Blend of Chocolate and Vanilla,1,,pieces,,USD,61673116294229,,,1970-01-01,,0,,8,,https://app.inventora.com/products/khSV4hMYuHMSa9RskseKCn/details
Crystal Orgone Pendulums by Tiny Rituals - Black Tourmaline,0,,pieces,,USD,carro-66857652,,,1970-01-01,,0,,14.95,,https://app.inventora.com/products/aKhBxFeAEmNN4EthBa5f6r/details
Citronella - Soy Candle,0,,pieces,,USD,61673112810325,,,1970-01-01,,0,,8,,https://app.inventora.com/products/ftqrPuMAT4f4C2SMjU1M4a/details
Copper Healing Sphere with Tripod by Tiny Rituals - Regular,0,,pieces,,USD,carro-66857638,,,1970-01-01,,0,,39.95,,https://app.inventora.com/products/s6eL9nD7rvAStiziz94Smt/details
Copper Healing Sphere with Tripod by Tiny Rituals - Large,0,,pieces,,USD,carro-66857639,,,1970-01-01,,0,,118,,https://app.inventora.com/products/7fwFWUEkqcVaDN8tiBerDa/details
Country Line - Soy Wax Melt,0,,pieces,,USD,61673113226965,,,1970-01-01,,0,,5,,https://app.inventora.com/products/htthg7nfea4gMnZiJCK1fn/details
Country Line- Spring Blooms Soy Candle | Soapy Fluffs,2,,pieces,,USD,61673113359189,,,1970-01-01,,0,,8,,https://app.inventora.com/products/tHoVNNr8eZPBZAPUsAGJrx/details
Crystal Orgone Pendulums by Tiny Rituals - Chakra,0,,pieces,,USD,carro-66857650,,,1970-01-01,,0,,19.95,,https://app.inventora.com/products/pVQXB8gkQidyzYPG4fWmXQ/details
Crystal Orgone Pendulums by Tiny Rituals - Rose Quartz,0,,pieces,,USD,carro-66857651,,,1970-01-01,,0,,14.95,,https://app.inventora.com/products/9GqcU12htwiVxeeWJ3wRNC/details
"Frankincense &amp; Myrrh Soy Candle – Warm, Earthy &amp; Aromatic Scent | SoapyFluffs",4,,pieces,,USD,61673111962965,,,1970-01-01,,0,,8,,https://app.inventora.com/products/6wqPvtEYakFCsZc92uMjn2/details
French Bourbon Reserve Artisan Soap – Luxurious &amp; Sophisticated | Soapy Fluffs,20,,pieces,,USD,61673114483413,,,1970-01-01,,0,,6,,https://app.inventora.com/products/fdNK6nW5fH4ALase6Enkko/details
Crystal Orgone Pendulums by Tiny Rituals - Citrine,0,,pieces,,USD,carro-66857653,,,1970-01-01,,0,,14.95,,https://app.inventora.com/products/t5mnRfgcA5t66oMgEEQNpG/details
Crystal Orgone Pendulums by Tiny Rituals - Green Aventurine,0,,pieces,,USD,carro-66857654,,,1970-01-01,,0,,14.95,,https://app.inventora.com/products/nKnAp1H2UhVivJ9dEgM1uB/details
Crystal Orgone Pendulums by Tiny Rituals - Carnelian,0,,pieces,,USD,carro-66857655,,,1970-01-01,,0,,14.95,,https://app.inventora.com/products/b9E7W1UagVjKifV3PFwhLh/details
Crystal Orgone Pendulums by Tiny Rituals - Amethyst,0,,pieces,,USD,carro-66857656,,,1970-01-01,,0,,14.95,,https://app.inventora.com/products/5hYvG8VdpNBsWjHEE53Pt6/details
Cucumber Mellon Lime,0,,pieces,,USD,61673118157717,,,1970-01-01,,0,,6,,https://app.inventora.com/products/jqEMRvp5e8oAjzBLy4wrii/details
Easter Rum Bunny,5,,pieces,,USD,61673110025269,,,1970-01-01,,0,,6,,https://app.inventora.com/products/2V4qeAGYQ8MEW1q7XJWjgX/details
Gingerbread - Soy Candle,-3,,pieces,,USD,61673114581237,,,1970-01-01,,0,,8,,https://app.inventora.com/products/rupuwHQhc8N93np5Xy9CmU/details
Gingerbread - Soy Wax Melt,-1,,pieces,,USD,61673114666581,,,1970-01-01,,0,,5,,https://app.inventora.com/products/62rtTp5bmKNpvqkGSottai/details
Fruitastic - Whipped Sugar Scrub – Exfoliating & Hydrating | SoapyFluffs,6,,pieces,,USD,61673112211925,,,1970-01-01,,0,,4,,https://app.inventora.com/products/fWXT7khivKGv4f852Mqfzp/details
Georgio Spice,0,,pieces,,USD,61673119045365,,,1970-01-01,,0,,6,,https://app.inventora.com/products/4p5i22FSRPdLuC7bu9cmFS/details
Georgio Spice- Ultra-Hydrating Triple Butter Body Cream,0,,pieces,,USD,61673118426325,,,1970-01-01,,0,,8,,https://app.inventora.com/products/rnwiBboHbHoRUc8LFAgXQ9/details
Georgio Spice- Ultra-Hydrating Triple Butter Body Cream - 2oz Tin,0,,pieces,,USD,61673116420725,,,1970-01-01,,0,,5,,https://app.inventora.com/products/7qib8gvp46AZ1zwYNnCbxS/details
Georgio – Luxe Hydrating Body Butter | Soapy Fluffs,7,,pieces,,USD,61673112607125,,,1970-01-01,,0,,8,,https://app.inventora.com/products/vSL6odK82atVeUBnhATSiv/details
"Handmade Scented Soap Bar - Choose Your Fragrance (Lavender, Vanilla, etc.) - Jaw Breaker",0,,pieces,,USD,,,,1970-01-01,,0,,6,,https://app.inventora.com/products/5z5cYD7n1MPCmdWXProKa9/details
"Handmade Scented Soap Bar - Choose Your Fragrance (Lavender, Vanilla, etc.) - Stormy Rain",20,,pieces,,USD,,,,1970-01-01,,0,,6,,https://app.inventora.com/products/1JGPRqCDRTbvTGPRkYnufj/details
"Handmade Scented Soap Bar - Choose Your Fragrance (Lavender, Vanilla, etc.) - Lavender",5,,pieces,,USD,,,,1970-01-01,,0,,6,,https://app.inventora.com/products/w4Hc9kKhLATfS9nKWaNbmx/details
Holiday Memory - Soy Candle,0,,pieces,,USD,61673115107797,,,1970-01-01,,0,,8,,https://app.inventora.com/products/hP1xRkXT2NBD1ePnonUbhA/details
"Handmade Scented Soap Bar - Choose Your Fragrance (Lavender, Vanilla, etc.) - Black Raspberrry Vanilla",17,,pieces,,USD,,,,1970-01-01,,0,,6,,https://app.inventora.com/products/7Z5XSmfBGycR1VeqxSjvia/details
Hot Cocoa,0,,pieces,,USD,61673111134837,,,1970-01-01,,0,,6,,https://app.inventora.com/products/ouxwHBtA6sTPVidUTLBmqH/details
Japanese Cherry Blossom,31,,pieces,,USD,61673110579317,,,1970-01-01,,0,,6,,https://app.inventora.com/products/4DPZykb3TQfRi4JMK2XwuE/details
